threshold,persistence_bars,persistence_s,delay_bars,delay_s,horizon_bars,horizon_s,cost,n_trades,trades_wk,mean_gross,mean_net,sharpe,win_rate
3.0,1,10,0,0,3,30,0.7,999,26.896153846153844,1.5546546546546818,0.8546546546546817,0.093154491031466,0.4044044044044044
3.0,1,10,0,0,6,60,0.3,884,23.799999999999997,1.441006787330363,1.141006787330363,0.11109683487519395,0.5271493212669683
3.0,1,10,0,0,6,60,0.5,884,23.799999999999997,1.441006787330363,0.9410067873303629,0.09162336002669992,0.49095022624434387
3.0,1,10,0,0,6,60,0.7,884,23.799999999999997,1.441006787330363,0.7410067873303627,0.07214988517820588,0.4445701357466063
3.0,1,10,0,0,12,120,0.3,760,20.46153846153846,2.030328947368487,1.730328947368487,0.1756351849630579,0.5473684210526316
3.0,1,10,0,0,12,120,0.5,760,20.46153846153846,2.030328947368487,1.5303289473684871,0.1553343993546143,0.5197368421052632
3.0,1,10,0,0,12,120,0.7,760,20.46153846153846,2.030328947368487,1.3303289473684872,0.13503361374617068,0.49078947368421055
3.0,1,10,0,0,30,300,0.3,608,16.369230769230768,2.8494243421052246,2.5494243421052247,0.20354887858812817,0.5723684210526315
3.0,1,10,0,0,30,300,0.5,608,16.369230769230768,2.8494243421052246,2.3494243421052246,0.18758065586220526,0.5411184210526315
3.0,1,10,0,0,30,300,0.7,608,16.369230769230768,2.8494243421052246,2.149424342105225,0.1716124331362824,0.5296052631578947
3.0,1,10,1,10,1,10,0.3,1046,28.16153846153846,0.24335564053541317,-0.05664435946458671,-0.008168957998870272,0.29636711281070743
3.0,1,10,1,10,1,10,0.5,1046,28.16153846153846,0.24335564053541317,-0.2566443594645868,-0.03701192868857292,0.25334608030592737
3.0,1,10,1,10,1,10,0.7,1046,28.16153846153846,0.24335564053541317,-0.4566443594645867,-0.06585489937827554,0.21319311663479923
3.0,1,10,1,10,2,20,0.3,1046,28.16153846153846,0.6515296367112974,0.3515296367112975,0.04641974735935622,0.3862332695984704
3.0,1,10,1,10,2,20,0.5,1046,28.16153846153846,0.6515296367112974,0.15152963671129743,0.020009600099152605,0.33460803059273425
